Parameter,Original Value,Optimized Value,Difference,Percent Change
onset_percent,48.686183542593454,8.013206565678143,-40.67297697691531,-83.54110759437997
offset_percent,94.21008982802223,99.90568997670223,5.6956001486800005,6.045637106468269
peak_torque,49.24887650982635,83.41309950489412,34.16422299506777,69.37056318076854
rise_time,0.3758654733925607,0.0995160155628525,-0.2763494578297082,-73.5235017293232
fall_time,0.0583840417879118,0.1638960903793334,0.10551204859142159,180.720699287502
stiffness,35.47749476898186,80.48032827728206,45.00283350830019,126.84896101414233
damping,3.774738642796595,4.4787852459852,0.7040466031886043,18.651532458602126
knee_assist_weight,0.8618246427344645,0.8239940340865674,-0.03783060864789711,-4.389594677620868
hip_assist_weight,0.9528745928073472,0.271692802279055,-0.6811817905282922,-71.48703467068032
ankle_assist_weight,0.429665918237609,0.5043739235378206,0.0747080053002116,17.387463638411603
